Wall time,Step,Value
1701783421.4684284,166000,-536.5509643554688
1701783424.5534294,167000,-536.5509643554688
1701783427.5634296,168000,-536.5509643554688
1701783430.4054294,169000,-536.5509643554688
1701783433.1314294,170000,-536.5509643554688
1701783435.6984305,171000,-536.5509643554688
1701783438.5632966,172000,-536.5509643554688
1701783441.4782948,173000,-536.5509643554688
1701783444.2382941,174000,-536.5509643554688
1701783452.5828085,175000,-609.1685791015625
1701783455.51281,176000,-609.1685791015625
1701783457.916644,177000,-609.1685791015625
1701783460.3366458,178000,-609.1685791015625
1701783462.836642,179000,-609.1685791015625
1701783465.4186418,180000,-609.1685791015625
1701783468.0046427,181000,-609.1685791015625
1701783470.957643,182000,-609.1685791015625
1701783473.8456426,183000,-609.1685791015625
1701783476.3376408,184000,-609.1685791015625
1701783484.681641,185000,-603.931884765625
1701783487.1896403,186000,-603.931884765625
1701783489.4736419,187000,-603.931884765625
1701783492.1476436,188000,-603.931884765625
1701783494.7036402,189000,-603.931884765625
1701783497.0996416,190000,-603.931884765625
1701783499.788644,191000,-603.931884765625
1701783502.243641,192000,-603.931884765625
1701783504.8466437,193000,-603.931884765625
1701783507.657641,194000,-603.931884765625
1701783516.1606438,195000,-559.3903198242188
1701783518.7746418,196000,-559.3903198242188
1701783521.2956426,197000,-559.3903198242188
1701783523.9406426,198000,-559.3903198242188
1701783526.437641,199000,-559.3903198242188
1701783528.955644,200000,-559.3903198242188
1701783531.5006423,201000,-559.3903198242188
1701783534.187644,202000,-559.3903198242188
1701783536.813644,203000,-559.3903198242188
1701783539.336641,204000,-559.3903198242188
1701783547.9786432,205000,-535.98876953125
1701783550.5986443,206000,-535.98876953125
1701783553.5006437,207000,-535.98876953125
1701783556.0626416,208000,-535.98876953125
1701783558.926642,209000,-535.98876953125
1701783561.7626438,210000,-535.98876953125
1701783564.424643,211000,-535.98876953125
1701783567.440641,212000,-535.98876953125
1701783569.9986415,213000,-535.98876953125
1701783572.719641,214000,-535.98876953125
1701783575.384641,215000,-535.98876953125
1701783584.5196443,216000,-258.02862548828125
1701783587.8206422,217000,-258.02862548828125
1701783591.302644,218000,-258.02862548828125
1701783594.539641,219000,-258.02862548828125
1701783597.9336412,220000,-258.02862548828125
1701783601.3316438,221000,-258.02862548828125
1701783604.587642,222000,-258.02862548828125
1701783608.133642,223000,-258.02862548828125
1701783611.9036417,224000,-258.02862548828125
1701783615.313641,225000,-258.02862548828125
1701783624.4496408,226000,-320.37884521484375
1701783627.9386408,227000,-320.37884521484375
1701783631.2306411,228000,-320.37884521484375
1701783634.9106421,229000,-320.37884521484375
1701783638.2046423,230000,-320.37884521484375
1701783641.5836408,231000,-320.37884521484375
1701783645.1629305,232000,-320.37884521484375
1701783649.1459289,233000,-320.37884521484375
1701783652.9229317,234000,-320.37884521484375
1701783656.2339292,235000,-320.37884521484375
1701783665.83793,236000,-355.1512756347656
1701783669.359928,237000,-355.1512756347656
1701783672.9599307,238000,-355.1512756347656
1701783676.57893,239000,-355.1512756347656
1701783680.1459289,240000,-355.1512756347656
1701783684.3869283,241000,-355.1512756347656
1701783687.990928,242000,-355.1512756347656
1701783691.757928,243000,-355.1512756347656
1701783695.330933,244000,-355.1512756347656
1701783698.6169302,245000,-355.1512756347656
1701783707.5819294,246000,-405.23126220703125
1701783711.0569313,247000,-405.23126220703125
1701783715.4909308,248000,-405.23126220703125
1701783719.3949301,249000,-405.23126220703125
